,Venue_Distance,Category_ID,Category_Name,Venue_Rating
97,18,4bf58dd8d48988d177941735,Doctor's Office,Not Rated
98,23,4bf58dd8d48988d1f2941735,Sporting Goods Shop,Not Rated
99,24,4f2a23984b9023bd5841ed2c,Moving Target,Not Rated
100,33,4bf58dd8d48988d1ce941735,Seafood Restaurant,Not Rated
101,35,4bf58dd8d48988d1ce941735,Seafood Restaurant,8.0
102,37,56aa371be4b08b9a8d5734c3,Waterfront,9.0
103,40,4bf58dd8d48988d1d0941735,Dessert Shop,6.4
104,40,4bf58dd8d48988d166941735,Sculpture Garden,Not Rated
105,44,4bf58dd8d48988d16a941735,Bakery,8.0
106,49,4bf58dd8d48988d1ce941735,Seafood Restaurant,5.7
107,52,4bf58dd8d48988d12d951735,Boat or Ferry,Not Rated
108,59,52e81612bcbc57f1066b79ed,Outdoor Sculpture,Not Rated
109,60,4e74f6cabd41c4836eac4c31,Pier,Not Rated
110,83,4bf58dd8d48988d1f1931735,General Entertainment,6.1
111,104,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,8.2
112,109,4bf58dd8d48988d163941735,Park,8.6
113,138,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction,8.4
114,142,4bf58dd8d48988d164941735,Plaza,7.9
115,5,4fbc1be21983fc883593e321,Well,Not Rated
116,6,4bf58dd8d48988d165941735,Scenic Lookout,Not Rated
117,14,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
118,23,4bf58dd8d48988d110951735,Salon / Barbershop,8.9
119,24,4bf58dd8d48988d165941735,Scenic Lookout,Not Rated
120,25,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
121,28,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
122,31,4bf58dd8d48988d1fe931735,Bus Station,Not Rated
123,37,52e81612bcbc57f1066b7a25,Pedestrian Plaza,Not Rated
124,41,4bf58dd8d48988d141941735,Sorority House,Not Rated
125,51,4bf58dd8d48988d12b951735,Bus Line,Not Rated
126,56,4bf58dd8d48988d1f2931735,Performing Arts Venue,Not Rated
127,66,4bf58dd8d48988d16d941735,Café,Not Rated
128,78,56aa371be4b08b9a8d57355c,Vape Store,Not Rated
129,82,4bf58dd8d48988d1ca941735,Pizza Place,8.4
130,101,4bf58dd8d48988d156941735,Malay Restaurant,9.2
131,107,52e81612bcbc57f1066b7a25,Pedestrian Plaza,Not Rated
132,117,4bf58dd8d48988d104951735,Boutique,7.9
133,151,4bf58dd8d48988d1e0931735,Coffee Shop,7.5
134,1,4bf58dd8d48988d10e941735,Greek Restaurant,5.4
135,1,4bf58dd8d48988d117951735,Candy Store,6.3
136,2,4bf58dd8d48988d181941735,Museum,6.1
137,3,4bf58dd8d48988d14e941735,American Restaurant,5.2
138,4,4bf58dd8d48988d137941735,Theater,7.4
139,4,4bf58dd8d48988d16f941735,Hot Dog Joint,Not Rated
140,5,4bf58dd8d48988d1c1941735,Mexican Restaurant,6.2
141,5,4bf58dd8d48988d1d0941735,Dessert Shop,Not Rated
142,6,4bf58dd8d48988d1ca941735,Pizza Place,8.4
143,7,4bf58dd8d48988d171941735,Event Space,7.2
144,8,4bf58dd8d48988d14e941735,American Restaurant,6.9
145,8,4bf58dd8d48988d179941735,Bagel Shop,7.0
146,11,4bf58dd8d48988d1d0941735,Dessert Shop,Not Rated
147,12,4bf58dd8d48988d120951735,Food Court,Not Rated
148,18,4bf58dd8d48988d1d0941735,Dessert Shop,7.5
149,20,52e81612bcbc57f1066b7a05,English Restaurant,5.9
150,22,4bf58dd8d48988d1e0931735,Coffee Shop,6.5
151,23,4bf58dd8d48988d1c7941735,Snack Place,5.7
152,86,4bf58dd8d48988d18f941735,Art Museum,9.3
153,3,4bf58dd8d48988d1ef941735,Rental Car Location,Not Rated
154,8,4bf58dd8d48988d109941735,Eastern European Restaurant,Not Rated
155,10,4bf58dd8d48988d102941735,Yoga Studio,Not Rated
156,10,554a5e17498efabeda6cc559,Photography Studio,Not Rated
157,10,5453de49498eade8af355881,Business Service,Not Rated
158,10,5454152e498ef71e2b9132c6,Event Service,Not Rated
159,11,5f2c2834b6d05514c704451e,Escape Room,Not Rated
160,12,4bf58dd8d48988d130941735,Building,Not Rated
