,Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
228,Atlantic,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,1325,No Address,47.6004633549497,-122.33397036075995,5744ccdfe4b0c0459246b4dc,Shopping Plaza
121,Belltown,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,1658,No Address,47.6004633549497,-122.33397036075995,5744ccdfe4b0c0459246b4dc,Shopping Plaza
109,Denny Triangle,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,2010,No Address,47.6004633549497,-122.33397036075995,5744ccdfe4b0c0459246b4dc,Shopping Plaza
226,Cherry Hill ,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,2023,No Address,47.6004633549497,-122.33397036075995,5744ccdfe4b0c0459246b4dc,Shopping Plaza
245,SoDo,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,2193,No Address,47.6004633549497,-122.33397036075995,5744ccdfe4b0c0459246b4dc,Shopping Plaza
8,Fremont,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,399,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
30,East Queen Anne,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,650,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
24,Queen Anne,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1468,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
27,North Queen Anne,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1468,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
41,West Queen Anne,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1468,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
5,Wallingford,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1740,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
14,West Woodland,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1938,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
67,Lake Union,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1974,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
23,Interbay,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,2048,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
10,Phinney Ridge,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,2237,315 N 36th St #2B,47.652039557314005,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
162,Pioneer Square,4fb7f757e4b09a1e8cab118e,Time masheen arcade,252,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
170,International District ,4fb7f757e4b09a1e8cab118e,Time masheen arcade,407,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
104,Downtown,4fb7f757e4b09a1e8cab118e,Time masheen arcade,429,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
197,West Edge,4fb7f757e4b09a1e8cab118e,Time masheen arcade,746,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
176,Yesler Terrace,4fb7f757e4b09a1e8cab118e,Time masheen arcade,865,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
210,Mann,4fb7f757e4b09a1e8cab118e,Time masheen arcade,955,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
156,First Hill,4fb7f757e4b09a1e8cab118e,Time masheen arcade,964,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
145,Central Business District,4fb7f757e4b09a1e8cab118e,Time masheen arcade,983,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
187,Central Waterfront,4fb7f757e4b09a1e8cab118e,Time masheen arcade,1011,No Address,47.60154454116357,-122.33068425440727,4bf58dd8d48988d1e1931735,Arcade
