,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name,Venue_Rating
33,Add-a-Ball Arcade,4dd1744dae603b786d77209b,Checked Out,65,No Address,47.65242,-122.354097,4bf58dd8d48988d159941735,Trail,Not Rated
34,Add-a-Ball Arcade,523cd3b311d20523c2c6903d,Fremont Oktoberfest,107,No Address,47.65165770210868,-122.35608980897787,4bf58dd8d48988d117941735,Beer Garden,7.0
35,Add-a-Ball Arcade,4e04bf7cb61c7592ae7087d1,ARC Pacific Northwest,115,2730 Occidental Ave S,47.652056,-122.353233,4bf58dd8d48988d159941735,Trail,Not Rated
36,Add-a-Ball Arcade,4ba6c895f964a520726f39e3,Burke-Gilman Trail (Fremont),119,1500 N Northlake Way,47.652917987689975,-122.35569181368132,4bf58dd8d48988d159941735,Trail,7.9
37,Add-a-Ball Arcade,4c374b2918e72d7f053916f5,Fremont Canal Park,121,199 N Canal St.,47.6529260388501,-122.35570906876116,4bf58dd8d48988d163941735,Park,8.5
38,Capitol Hill Family Arcade,5798f287498e69e03ba37e66,Ruckus Recreational Cannabis,19,1463 E Republican St,47.62301,-122.31333,52c71aaf3cf9994f4e043d17,Marijuana Dispensary,7.0
39,Capitol Hill Family Arcade,4ad5779cf964a5200a0321e3,Astor Court,19,1450 E Republican St,47.623335,-122.31330600000001,4bf58dd8d48988d172941735,Post Office,Not Rated
40,Capitol Hill Family Arcade,4e8f0b9593ad4c1d6dc8eba3,Practice These Principles,20,No Address,47.62315200000001,-122.313495,4bf58dd8d48988d13b941735,School,Not Rated
41,Capitol Hill Family Arcade,4add4e85f964a520d96421e3,Postal Plus,26,1463 E Republican St,47.62309139835418,-122.3128813355819,4bf58dd8d48988d172941735,Post Office,Not Rated
42,Capitol Hill Family Arcade,58c38dc55a5869779c65ef2b,Uncle Ike's Capitol Hill,27,501 15th Ave E,47.62326899,-122.3128774,52c71aaf3cf9994f4e043d17,Marijuana Dispensary,7.7
43,Capitol Hill Family Arcade,4abeab1af964a520398f20e3,El Farol,28,1467 E Republican St,47.62300973306851,-122.31292610180418,4bf58dd8d48988d1c1941735,Mexican Restaurant,6.7
44,Capitol Hill Family Arcade,4bc3712dabf495219bc4c393,Angels Shoe Repair,32,1465 E Republican St,47.623016957204655,-122.31284935961139,52f2ab2ebcbc57f1066b8b39,Shoe Repair,Not Rated
45,Capitol Hill Family Arcade,452d7a51f964a5204c3b1fe3,Caffe Ladro,38,435 15th Ave E,47.62301345680476,-122.31276511679478,4bf58dd8d48988d1e0931735,Coffee Shop,7.9
46,Capitol Hill Family Arcade,40b13b00f964a52099f61ee3,Hopvine Pub,41,507 15th Ave E,47.62336052183098,-122.31273709068874,4bf58dd8d48988d116941735,Bar,7.1
47,Capitol Hill Family Arcade,556a560f498ee2f2c9252c23,Rudy's Barbershop Capitol Hill East,43,428 15th Ave E,47.62300379033251,-122.31269318824468,4bf58dd8d48988d110951735,Salon / Barbershop,8.9
48,Capitol Hill Family Arcade,40b3de00f964a52036001fe3,Coastal Kitchen,48,429 15th Ave E,47.62280358366865,-122.31287788001616,4bf58dd8d48988d1ce941735,Seafood Restaurant,8.3
49,Capitol Hill Family Arcade,4b363b53f964a5205d3125e3,Shoprite,49,432 15th Ave E,47.62323725324503,-122.31256263771459,4bf58dd8d48988d128951735,Gift Shop,Not Rated
50,Capitol Hill Family Arcade,4447ebabf964a5206e321fe3,Liberty,56,517 15th Ave E,47.62356128661233,-122.31272839642432,4bf58dd8d48988d121941735,Lounge,8.4
51,Capitol Hill Family Arcade,4bdc6110c79cc9289a4386e9,Ada's Technical Books and Cafe,57,425 15th Ave E,47.6226861936587,-122.31295126749107,4bf58dd8d48988d114951735,Bookstore,9.3
52,Capitol Hill Family Arcade,4c27b8a99fb5d13a20859857,"Take 2, New and Recycled Apparel",63,430 15th Ave E,47.623048,-122.31238700000002,4bf58dd8d48988d103951735,Clothing Store,Not Rated
