Borough,Borough_Lat,Borough_Lng,Neighborhood,Hood_Lat,Hood_Lng
Staten Island,40.5834557,-74.1496048,New Dorp,40.57257231820632,-74.1164794360638
Staten Island,40.5834557,-74.1496048,Oakwood,40.5584622432888,-74.12156593771896
Staten Island,40.5834557,-74.1496048,Great Kills,40.549480228713605,-74.14932381490992
Staten Island,40.5834557,-74.1496048,Eltingville,40.542230747450745,-74.1643308041936
Staten Island,40.5834557,-74.1496048,Annadale,40.53811417474507,-74.17854866165878
Staten Island,40.5834557,-74.1496048,Woodrow,40.541967622888755,-74.20524582480326
Staten Island,40.5834557,-74.1496048,Tottenville,40.50533376115642,-74.24656934235283
Staten Island,40.5834557,-74.1496048,Tompkinsville,40.637316067110326,-74.08055351790115
Staten Island,40.5834557,-74.1496048,Silver Lake,40.61919310792676,-74.09629029235458
Staten Island,40.5834557,-74.1496048,Sunnyside,40.61276015756489,-74.0971255217853
Brooklyn,40.6501038,-73.9495823,Ditmas Park,40.643675183340974,-73.96101312466779
Brooklyn,40.6501038,-73.9495823,Wingate,40.66094656188111,-73.93718680559314
Brooklyn,40.6501038,-73.9495823,Rugby,40.655572313280764,-73.92688212616955
Staten Island,40.5834557,-74.1496048,Park Hill,40.60919044434558,-74.08015734936296
Staten Island,40.5834557,-74.1496048,Westerleigh,40.62109047275409,-74.13304143951704
Staten Island,40.5834557,-74.1496048,Graniteville,40.620171512231884,-74.15315246387762
Staten Island,40.5834557,-74.1496048,Arlington,40.63532509911492,-74.16510420241124
Staten Island,40.5834557,-74.1496048,Arrochar,40.596312571276734,-74.06712363225574
Staten Island,40.5834557,-74.1496048,Grasmere,40.59826835959991,-74.0766743627905
Staten Island,40.5834557,-74.1496048,Old Town,40.59632891379513,-74.08751118005578
Staten Island,40.5834557,-74.1496048,Dongan Hills,40.588672948199275,-74.09639905312521
Staten Island,40.5834557,-74.1496048,Midland Beach,40.57352690574283,-74.09348266303591
Staten Island,40.5834557,-74.1496048,Grant City,40.57621558711788,-74.10585598545434
Staten Island,40.5834557,-74.1496048,New Dorp Beach,40.56425549307335,-74.10432707469124
Staten Island,40.5834557,-74.1496048,Bay Terrace,40.55398800858462,-74.13916622175768
Staten Island,40.5834557,-74.1496048,Huguenot,40.531911920489605,-74.19174105747814
Staten Island,40.5834557,-74.1496048,Pleasant Plains,40.524699376118136,-74.21983106616777
Staten Island,40.5834557,-74.1496048,Butler Manor,40.50608165346305,-74.22950350260027
Staten Island,40.5834557,-74.1496048,Charleston,40.53053148283314,-74.23215775896526
Staten Island,40.5834557,-74.1496048,Rossville,40.54940400650072,-74.21572851113952
Staten Island,40.5834557,-74.1496048,Arden Heights,40.54928582278321,-74.18588674583893
Staten Island,40.5834557,-74.1496048,Greenridge,40.555295236173194,-74.17079414786092
Staten Island,40.5834557,-74.1496048,Heartland Village,40.58913894875281,-74.15902208156601
Staten Island,40.5834557,-74.1496048,Chelsea,40.59472602746295,-74.1895604551969
Staten Island,40.5834557,-74.1496048,Bloomfield,40.60577868452358,-74.18725638381567
Staten Island,40.5834557,-74.1496048,Bulls Head,40.6095918004203,-74.15940948657122
Manhattan,40.7896239,-73.9598939,Carnegie Hill,40.7826825671257,-73.95325646837112
Manhattan,40.7896239,-73.9598939,Noho,40.72325901885768,-73.98843368023597
Manhattan,40.7896239,-73.9598939,Civic Center,40.71522892046282,-74.00541529873355
Manhattan,40.7896239,-73.9598939,Midtown South,40.7485096643122,-73.98871313285247
Staten Island,40.5834557,-74.1496048,Richmond Town,40.56960594275505,-74.1340572986257
Staten Island,40.5834557,-74.1496048,Shore Acres,40.60971934079284,-74.06667766061771
Staten Island,40.5834557,-74.1496048,Clifton,40.61917845202843,-74.072642445484
Staten Island,40.5834557,-74.1496048,Concord,40.6044731896879,-74.08402364740358
Staten Island,40.5834557,-74.1496048,Emerson Hill,40.606794394801,-74.09776206972522
Staten Island,40.5834557,-74.1496048,Randall Manor,40.63563000681151,-74.09805062373887
Staten Island,40.5834557,-74.1496048,Howland Hook,40.63843283794795,-74.18622331749823
Staten Island,40.5834557,-74.1496048,Elm Park,40.630146741193826,-74.1418167896889
Brooklyn,40.6501038,-73.9495823,Remsen Village,40.652117451793494,-73.91665331978048
Brooklyn,40.6501038,-73.9495823,New Lots,40.6627442796966,-73.88511776379292
Brooklyn,40.6501038,-73.9495823,Paerdegat Basin,40.63131755039667,-73.90233474295836
Brooklyn,40.6501038,-73.9495823,Mill Basin,40.61597423962336,-73.91515391550404
Queens,40.7498243,-73.7976337,Jamaica Hills,40.71145964370482,-73.79646462081593
Queens,40.7498243,-73.7976337,Utopia,40.73350025429757,-73.79671678028349
Queens,40.7498243,-73.7976337,Pomonok,40.73493618075478,-73.80486120040537
Queens,40.7498243,-73.7976337,Astoria Heights,40.7703173929982,-73.89467996270574
Bronx,40.8466508,-73.8785937,Claremont Village,40.83142834161548,-73.90119903387667
Bronx,40.8466508,-73.8785937,Concourse Village,40.824780490842905,-73.91584652759009
Bronx,40.8466508,-73.8785937,Mount Eden,40.84382617671654,-73.91655551964419
Bronx,40.8466508,-73.8785937,Mount Hope,40.84884160724665,-73.90829930881988
Manhattan,40.7896239,-73.9598939,Sutton Place,40.76028033131374,-73.96355614094303
Queens,40.7498243,-73.7976337,Hunters Point,40.743414090073536,-73.95386782130745
Manhattan,40.7896239,-73.9598939,Turtle Bay,40.75204236950722,-73.96770824581834
Manhattan,40.7896239,-73.9598939,Tudor City,40.746917410740195,-73.97121928722265
Manhattan,40.7896239,-73.9598939,Stuyvesant Town,40.73099955477061,-73.97405170469203
Manhattan,40.7896239,-73.9598939,Flatiron,40.739673047638426,-73.9909471052826
Queens,40.7498243,-73.7976337,Sunnyside Gardens,40.74565180608076,-73.91819286431682
Queens,40.7498243,-73.7976337,Blissville,40.73725071694497,-73.93244235260178
Brooklyn,40.6501038,-73.9495823,Fulton Ferry,40.70328109093014,-73.99550751888415
Brooklyn,40.6501038,-73.9495823,Vinegar Hill,40.70332149882874,-73.98111603592393
Brooklyn,40.6501038,-73.9495823,Weeksville,40.67503986503237,-73.93053108817338
Brooklyn,40.6501038,-73.9495823,Broadway Junction,40.67786104769531,-73.90331684852599
Brooklyn,40.6501038,-73.9495823,Dumbo,40.70317632822692,-73.9887528074504
Staten Island,40.5834557,-74.1496048,Manor Heights,40.60180957631444,-74.12059399718001
Staten Island,40.5834557,-74.1496048,Willowbrook,40.60370692627371,-74.13208447484298
Staten Island,40.5834557,-74.1496048,Sandy Ground,40.541139922091766,-74.21776636068567
Staten Island,40.5834557,-74.1496048,Egbertville,40.579118742961214,-74.12727240604946
Queens,40.7498243,-73.7976337,Roxbury,40.56737588957032,-73.89213760232822
Brooklyn,40.6501038,-73.9495823,Homecrest,40.598525095137255,-73.95918459428702
Queens,40.7498243,-73.7976337,Middle Village,40.716414511158185,-73.88114319200604
Staten Island,40.5834557,-74.1496048,Prince's Bay,40.52626406734812,-74.20152556457658
Staten Island,40.5834557,-74.1496048,Lighthouse Hill,40.57650629379489,-74.13792663771568
Staten Island,40.5834557,-74.1496048,Richmond Valley,40.51954145748909,-74.22957080626941
Queens,40.7498243,-73.7976337,Malba,40.79060155670148,-73.82667757138641
Brooklyn,40.6501038,-73.9495823,Highland Park,40.6819989345173,-73.890345709872
Brooklyn,40.6501038,-73.9495823,Madison,40.60937770113766,-73.94841515328893
Bronx,40.8466508,-73.8785937,Bronxdale,40.85272297633017,-73.86172577555115
Bronx,40.8466508,-73.8785937,Allerton,40.86578787802982,-73.85931863221647
Bronx,40.8466508,-73.8785937,Kingsbridge Heights,40.8703923914147,-73.90152264513144
Brooklyn,40.6501038,-73.9495823,Erasmus,40.64692606658579,-73.94817709920184
Manhattan,40.7896239,-73.9598939,Hudson Yards,40.75665808227519,-74.00011136202637
Queens,40.7498243,-73.7976337,Hammels,40.58733774018741,-73.80553002968718
Queens,40.7498243,-73.7976337,Bayswater,40.611321691283834,-73.76596781445627
Queens,40.7498243,-73.7976337,Queensbridge,40.756091297094706,-73.94563070334091
Staten Island,40.5834557,-74.1496048,Fox Hills,40.61731079252983,-74.08173992211962
