Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
Cobble Hill,569c2247498edccdb3481f82,WeLive Laundry Room & Arcade,2047,110 Wall St,40.70527929530424,-74.00656928984769,52f2ab2ebcbc57f1066b8b33,Laundromat
Cobble Hill,55d8afc3498e2156fb75de6f,EOS Arcade,1607,66 Rockwell Pl Fl 4,40.68818,-73.979518,4bf58dd8d48988d1e1931735,Arcade
Cobble Hill,5c0b2bec89b06a002ccbbb7f,2 Water Street - Arcade,2043,2 Water St,40.702796936035156,-74.01274871826172,4bf58dd8d48988d1e1931735,Arcade
Carroll Gardens,55d8afc3498e2156fb75de6f,EOS Arcade,1534,66 Rockwell Pl Fl 4,40.68818,-73.979518,4bf58dd8d48988d1e1931735,Arcade
Carroll Gardens,4c4a1cb69c8d2d7fb1be1069,At the arcade,2218,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
Red Hook,5bdf5b781a29250025fce191,Arcade,2200,No Address,40.656963,-74.007065,4bf58dd8d48988d101951735,Thrift / Vintage Store
Red Hook,5d69620bc79f3b000852a2fe,Arcade,2202,51 35th St,40.656949,-74.007024,4bf58dd8d48988d101951735,Thrift / Vintage Store
Gowanus,55d8afc3498e2156fb75de6f,EOS Arcade,2025,66 Rockwell Pl Fl 4,40.68818,-73.979518,4bf58dd8d48988d1e1931735,Arcade
Gowanus,4fc11a6fe4b0730dec0ef93e,I Fix Machine Arcade,2027,132 32nd St ste 114,40.65700149536133,-74.0032958984375,4bf58dd8d48988d1e1931735,Arcade
Gowanus,4c4a1cb69c8d2d7fb1be1069,At the arcade,2254,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
Fort Greene,55d8afc3498e2156fb75de6f,EOS Arcade,559,66 Rockwell Pl Fl 4,40.68818,-73.979518,4bf58dd8d48988d1e1931735,Arcade
Fort Greene,4c4a1cb69c8d2d7fb1be1069,At the arcade,1157,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
Park Slope,4c4a1cb69c8d2d7fb1be1069,At the arcade,1011,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
Park Slope,55d8afc3498e2156fb75de6f,EOS Arcade,1777,66 Rockwell Pl Fl 4,40.68818,-73.979518,4bf58dd8d48988d1e1931735,Arcade
Coney Island,49ebfb9df964a5204d671fe3,Eldorado Bumper Cars & Arcade,725,1216 Surf Ave,40.5752214689074,-73.98018786277851,4bf58dd8d48988d1e1931735,Arcade
Coney Island,4fe49ec5e5e8d370efe5e8cd,Luna Arcade,841,1000 Surf Ave,40.574619723392544,-73.97873640060425,4bf58dd8d48988d1e1931735,Arcade
Coney Island,4c2e9b5b09a99c746c9c0a2a,Deno's Arcade,818,1025 Boardwalk W,40.573882217685764,-73.9790153503418,4bf58dd8d48988d1e1931735,Arcade
Coney Island,4d5bea841da1cbff3a811a05,Mermaid Parade Ride,878,1000 Surf Ave,40.57357050702873,-73.97833675146103,5109983191d435c0d71c2bb1,Theme Park Ride / Attraction
Bath Beach,54d793c2498eae7f4aae9aa8,Arcade Roofing & Home Improvement,258,No Address,40.60129484970218,-73.99678230285643,4bf58dd8d48988d130941735,Building
Borough Park,4fc11a6fe4b0730dec0ef93e,I Fix Machine Arcade,2868,132 32nd St ste 114,40.65700149536133,-74.0032958984375,4bf58dd8d48988d1e1931735,Arcade
Dyker Heights,54d793c2498eae7f4aae9aa8,Arcade Roofing & Home Improvement,2758,No Address,40.60129484970218,-73.99678230285643,4bf58dd8d48988d130941735,Building
Dyker Heights,60ce1f287f4109105ca92fac,Brooklyn Games & Arcade,2300,6120,40.639884,-74.019625,4bf58dd8d48988d10b951735,Video Game Store
Clinton Hill,55d8afc3498e2156fb75de6f,EOS Arcade,1134,66 Rockwell Pl Fl 4,40.68818,-73.979518,4bf58dd8d48988d1e1931735,Arcade
Clinton Hill,4c4a1cb69c8d2d7fb1be1069,At the arcade,1620,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
Downtown,55d8afc3498e2156fb75de6f,EOS Arcade,445,66 Rockwell Pl Fl 4,40.68818,-73.979518,4bf58dd8d48988d1e1931735,Arcade
Downtown,4c4a1cb69c8d2d7fb1be1069,At the arcade,1852,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
Boerum Hill,55d8afc3498e2156fb75de6f,EOS Arcade,452,66 Rockwell Pl Fl 4,40.68818,-73.979518,4bf58dd8d48988d1e1931735,Arcade
Boerum Hill,4c4a1cb69c8d2d7fb1be1069,At the arcade,1505,No Address,40.678681,-73.968486,4bf58dd8d48988d1e1931735,Arcade
Ocean Hill,4cca09529b934688142d4c41,Arcade Bookbinding Corp.,2129,801 Wyckoff Avenue,40.697202471625836,-73.90839396773141,4bf58dd8d48988d130941735,Building
Ocean Hill,4e5ef27a22718258c4961ae0,Arcade Community,264,81 Rockaway Ave,40.680156,-73.910947,4bf58dd8d48988d130941735,Building
Ocean Hill,4bf9ff045ec320a12d298bd3,Arcade Restaurant,362,No Address,40.681484,-73.911668,4bf58dd8d48988d130941735,Building
Ocean Hill,51996cf8498eae1965b45236,Arcade Lounge,1215,No Address,40.68922222919599,-73.91117276592865,4bf58dd8d48988d121941735,Lounge
Ocean Hill,4f32cc9b19836c91c7fbf408,Young's Video Arcade Games and Internet Service,1179,68 Belmont Ave,40.668578000000004,-73.907824,4bf58dd8d48988d17f941735,Movie Theater
Midwood,511ae724e4b0dd11cbae7258,Daniel Arcade,661,No Address,40.62468719482422,-73.96533203125,4bf58dd8d48988d1e1931735,Arcade
Midwood,5614ea2f498e1a47b3fd4d1c,Rolling Game Arcade,1020,1222 Ocean Ave,40.63352870253364,-73.96365165710449,4bf58dd8d48988d126951735,Video Store
