NPU,Neighborhood,hood_longitude,hood_latitude
N,Lake Clair,-90.003581,38.5048694
N,Poncey-Highland,No Data Found,No Data Found
N,Reynoldstown,-84.3561007,33.749049
O,East Lake,-84.3128808,33.7651943
O,Edgewood,-84.341314,33.7617726
O,Kirkwood,-84.3231542,33.7524267
O,The Villages at East Lake,No Data Found,No Data Found
P,Arlington Estates,No Data Found,No Data Found
P,Ashley Courts,No Data Found,No Data Found
P,Ben Hill,-84.5113194,33.6906644
P,Ben Hill Acres,No Data Found,No Data Found
P,Ben Hill Forest,-84.5113194,33.6906644
P,Ben Hill Pines,No Data Found,No Data Found
P,Ben Hill Terrace,-84.442163,33.7849591
P,Brentwood,-84.376407,33.830677
P,Briar Glen,No Data Found,No Data Found
P,Butner/Tell,No Data Found,No Data Found
P,Cascade Green,No Data Found,No Data Found
P,Deerwood,-84.5118748,33.678998
P,Elmco Estates,No Data Found,No Data Found
P,Fairburn,-84.5032645,33.7723288
P,Fairburn Tell,No Data Found,No Data Found
P,Fairway Acres,No Data Found,No Data Found
P,Greenbriar Village,No Data Found,No Data Found
P,Heritage Valley,-75.6289092,38.6603131
P,Huntington,-84.394967,33.8044419
P,Kings Forest,-64.5040943,45.1513902
P,Lake Estates,-75.63257027874839,38.6625084
P,Meadowbrook Forest,No Data Found,No Data Found
P,Mellwood,-84.506283,33.686608
P,Mt. Gilead Woods,No Data Found,No Data Found
P,Niskey Cove,-84.5305249,33.7178293
P,Niskey Lake,-84.52794828757575,33.714238
P,Old Fairburn Village,-84.5032645,33.7723288
P,Princeton Lakes,No Data Found,No Data Found
P,Rue Royal,No Data Found,No Data Found
P,Sandlewood Estates,No Data Found,No Data Found
P,Tampa Park,No Data Found,No Data Found
P,Wildwood Forest,-74.8403901,38.9684865
Q,Midwest Cascade,No Data Found,No Data Found
Q,Regency Trace,-84.5387034,33.708334
R,Adams Park,-84.4568734,33.7120523
R,Campbellton Road,-84.545131,33.698701
R,Fort Valley,-82.997337,42.3983911
R,Greenbriar,-84.49771406442632,33.67417295
R,Laurens Valley,-84.480162,33.709473
R,Pamond Park,No Data Found,No Data Found
R,Southwest,-84.442163,33.7849591
S,Bush Mountain,-84.4016845,33.76489
S,Cascade Avenue/Road,No Data Found,No Data Found
S,Fort McPherson,-84.43503738129054,33.706771
S,Oakland City,-84.425187,33.7167992
S,Venetian Hills,-84.449651,33.7142745
S,Westmont Estates,No Data Found,No Data Found
T,Ashview Heights,-84.5032645,33.7723288
T,Atlanta University Center,-84.4129421,33.749524
T,Harris Chiles,No Data Found,No Data Found
T,Just Us,No Data Found,No Data Found
T,The Villages at Castleberry Hill,No Data Found,No Data Found
T,West End,-84.4163167,33.7381626
T,Westview,-84.4415955,33.7398293
V,Adair Park,-84.41115399240549,33.72467075
V,Capitol Gateway,-84.3836826,33.7458072
V,Mechanicsville,-84.3985382,33.7389957
V,Peoplestown,-84.3854419,33.7279015
V,Pittsburgh,-84.4017997,33.7270797
V,Summerhill,-84.3854172,33.7369311
W,Benteen Park,-84.36332248044741,33.71573665
W,Boulevard Heights,120.7245508,15.0038136
W,Custer/McDonough/Guice,No Data Found,No Data Found
W,East Atlanta,-84.442163,33.7849591
W,Grant Park,-84.3709322239104,33.73586185
W,Oakland,-84.37216350222991,33.74868955
W,Ormewood Park,-84.3568699,33.7301068
W,State Facility,-84.39226354817919,33.77992615
W,Woodland Hills,-84.344092,33.8101047
X,Capitol View,-84.4132608,33.7167742
X,Capitol View Manor,No Data Found,No Data Found
X,Hammond Park,-84.4013156,33.6751085
X,Perkerson,-84.4127052,33.7112188
X,Sylvan Hills,-84.4177054,33.7092744
Y,Amal Heights,No Data Found,No Data Found
Y,Betmar LaVilla,No Data Found,No Data Found
Y,Chosewood Park,-84.37407210268573,33.7189491
Y,Englewood Manor,No Data Found,No Data Found
Y,High Point,No Data Found,No Data Found
Y,Joyland,-84.3954824,33.7128853
Y,Lakewood Heights,-84.3785372,33.7048298
Y,South Atlanta,-84.442163,33.7849591
Y,The Villages at Carver,No Data Found,No Data Found
Z,Blair Villa/Poole Creek,No Data Found,No Data Found
Z,Browns Mill Park,-84.3824261,33.6859414
Z,Glenrose Heights,No Data Found,No Data Found
Z,Lakewood,-84.3785372,33.7048298
Z,Leila Valley,-84.354975,33.689193
Z,Norwood Manor,No Data Found,No Data Found
Z,Orchard Knob,-84.378537,33.6753862
Z,Polar Rock,-84.3962794,33.6896395
Z,Rebel Valley Forest,No Data Found,No Data Found
Z,Rosedale Heights,-84.3810371,33.6820526
Z,South River Gardens,No Data Found,No Data Found
Z,Swallow Circle/Baywood,No Data Found,No Data Found
Z,Thomasville Heights,-84.35832372053537,33.70426155
