,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
0,Sean's Arcade And Mini Bar,4bff06fe10899c74d66215c5,Sarah Colman-Livengood Park,401,59th & Lane,39.015509737287616,-94.47573377789988,4bf58dd8d48988d1e7941735,Playground
1,Sean's Arcade And Mini Bar,4bd06bc49854d13a49a1f74d,Laurel Hills Elementary,878,5401 Lane,39.025665283203125,-94.47555541992188,4f4533804b9074f6e4fb0105,Elementary School
2,Sean's Arcade And Mini Bar,4dce8ec78877851243fa0958,Graceway Ball Fields,577,No Address,39.02128397332956,-94.48419341628656,4bf58dd8d48988d1e8941735,Baseball Field
3,Sean's Arcade And Mini Bar,4e9cca65dab4aec571ae9d98,Shays Animal Kingdom,14,No Address,39.018282400000004,-94.4787105,4bf58dd8d48988d1e5941735,Dog Run
4,Sean's Arcade And Mini Bar,4e513b38c65bb313ba9ebab0,Sean's Arcade And Mini Bar,0,No Address,39.0181981901088,-94.47883225310844,4bf58dd8d48988d171941735,Event Space
5,Sean's Arcade And Mini Bar,5f29ce36dada2c4da2b70b12,Mount Carmel Cemetary,1115,No Address,39.023317,-94.46775,4bf58dd8d48988d15c941735,Cemetery
6,Sean's Arcade And Mini Bar,4e31c42f2fb6ede816e33fa5,Redbox,1020,8700 E 63rd St,39.009638,-94.483069,4bf58dd8d48988d126951735,Video Store
7,Sean's Arcade And Mini Bar,591ef4299ba3e53785aacba9,Shell,1198,8435 E 63rd St,39.009499,-94.486988,4bf58dd8d48988d113951735,Gas Station
8,Sean's Arcade And Mini Bar,4e4806e762e148603b87a23f,Graceway,757,5460 Blue Ridge Cut Off,39.024537059571124,-94.4820084035208,4bf58dd8d48988d132941735,Church
9,Sean's Arcade And Mini Bar,50de6836e4b09e22ed1b7185,quicktrip 63rd st and blue ridge cutoff,1053,No Address,39.00916784247219,-94.48249333456789,4d954b0ea243a5684a65b473,Convenience Store
10,Sean's Arcade And Mini Bar,4c7d79413b22a1cda0095f9e,DMV,1231,6140 Raytown Trfy,39.01147998859375,-94.46751805367789,4bf58dd8d48988d124941735,Office
11,Sean's Arcade And Mini Bar,552d5783498e03cbd21ae101,UMB Bank ATM,1074,8733 E 63rd St,39.009,-94.4826,52f2ab2ebcbc57f1066b8b56,ATM
12,Sean's Arcade And Mini Bar,4ec5b98dd3e3e131f034fbba,Sinclair,1118,No Address,39.02802492404913,-94.48150751297412,4bf58dd8d48988d113951735,Gas Station
13,Sean's Arcade And Mini Bar,4b55c046f964a52054ee27e3,QuikTrip,1076,8733 E 63rd St,39.008975962529185,-94.4825949858382,4d954b0ea243a5684a65b473,Convenience Store
14,Sean's Arcade And Mini Bar,50339288e4b0a6a992d0195f,OTTO Car Wash,1166,8609 E 63rd St,39.00911095,-94.48553984,4f04ae1f2fb6e1c99f3db0ba,Car Wash
15,Sean's Arcade And Mini Bar,4d3dec76557d6dcb3d574944,Raytown Area Chamber Of Commerce,1042,No Address,39.015871104956084,-94.46716261255432,4bf58dd8d48988d130941735,Building
16,Sean's Arcade And Mini Bar,4e86075830f873b8fa4be0c1,Golden Beauty Supply,958,No Address,39.01095734880836,-94.48483533208847,4bf58dd8d48988d10c951735,Cosmetics Shop
17,Sean's Arcade And Mini Bar,4be6e15e910020a184b6d414,First United Methodist Church Raytown,805,No Address,39.025320410728455,-94.48047995567322,4bf58dd8d48988d132941735,Church
18,Sean's Arcade And Mini Bar,4d49ebcdb480a1435c6129ec,Raytown Fire Station #1,935,No Address,39.01450095637111,-94.46911873112555,4bf58dd8d48988d12c941735,Fire Station
19,Sean's Arcade And Mini Bar,5133d9fbe4b031601d54429d,Brywood Shopping Center,1014,No Address,39.010611003411945,-94.4853301872868,4bf58dd8d48988d1fd941735,Shopping Mall
20,Arcade Shoe Repair,4fd8e282e4b0de27c90b4166,Charisse,37,1006 Walnut St,39.101624763939,-94.58221077919006,4bf58dd8d48988d10c941735,French Restaurant
21,Arcade Shoe Repair,4b2bd714f964a5201abc24e3,Neo Delicatessan,193,1000 Walnut St Ste 205,39.102976830757974,-94.5830631662896,4bf58dd8d48988d146941735,Deli / Bodega
22,Arcade Shoe Repair,5c8b1c800d8a0f002c113a68,Spokes Cafe & Cyclery,99,929 Walnut St,39.102436532837714,-94.58174675703049,4bf58dd8d48988d16d941735,Café
23,Arcade Shoe Repair,5996a3f74186866117bcdbba,Hotel Indigo Kansas City Downtown,263,101 W 11th St,39.100701,-94.58464599999999,4bf58dd8d48988d1fa931735,Hotel
24,Arcade Shoe Repair,4c7bc2303badb1f7f8bd5554,UMB Bank,247,1010 Grand Blvd,39.10172753435879,-94.5789408742427,4bf58dd8d48988d10a951735,Bank
25,Arcade Shoe Repair,4e68c94aae60186280a26fe8,Arcade Shoe Repair,0,No Address,39.101542,-94.581791,4bf58dd8d48988d1ff941735,Miscellaneous Shop
26,Arcade Shoe Repair,51b9d3c2498e51f3058aafbf,U.S. Department of Education (ED),56,1010 Walnut St,39.101503,-94.58244499999999,4bf58dd8d48988d124941735,Office
27,Arcade Shoe Repair,4df8bc09a809df9984ea7cde,Harmony,40,911 Main St,39.10151,-94.58226,4bf58dd8d48988d124941735,Office
28,Arcade Shoe Repair,4d06676137036dcbdaf21bfb,Courtyard Delicatessen,32,1010 Grand Blvd,39.101554,-94.581418,54f4ba06498e2cf5561da814,Corporate Cafeteria
29,Arcade Shoe Repair,4c72c5787121a1cd046a63d1,FedEx Office Print & Ship Center,70,"1111 Main St, Suite 111",39.1009969,-94.5822173,52f2ab2ebcbc57f1066b8b1f,Shipping Store
