,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name,Venue_Rating
45,Broadway Arcade,4f0ef264e4b050cad0b9559f,"Wright & Fisher, LLC",65,"1000 Broadway St, Suite 400",39.10168732058929,-94.58860963782465,4bf58dd8d48988d124941735,Office,Not Rated
46,Broadway Arcade,5b242ac951950e002cf3fba4,The Pendergast Club,66,No Address,39.102547,-94.58799,52e81612bcbc57f1066b7a33,Social Club,Not Rated
47,Broadway Arcade,54009d58498ee8f46ceca01a,Jimmy John's,76,923 Broadway Blvd,39.10278205214829,-94.58807945251465,4bf58dd8d48988d1c5941735,Sandwich Place,6.5
48,Broadway Arcade,4b944769f964a520a37234e3,Pizza Hut,105,1020 Broadway St.,39.10132919448023,-94.58859980106348,4bf58dd8d48988d1ca941735,Pizza Place,5.6
49,Broadway Arcade,5f0380b7277ba71239301726,Broadway Massage,107,905 Broadway Blvd,39.10313,-94.588104,52f2ab2ebcbc57f1066b8b3c,Massage Studio,Not Rated
50,Broadway Arcade,4bcc50180687ef3b53f9decc,Quality Hill Mart,111,No Address,39.10128757884071,-94.58890193762028,4d954b0ea243a5684a65b473,Convenience Store,Not Rated
51,Broadway Arcade,4c4c8d69bad7a5935ab66cad,The Office at The Q,121,303 W 10th St,39.101973,-94.587317,4bf58dd8d48988d124941735,Office,Not Rated
52,Broadway Arcade,4c1d07af8b3aa59349d7995f,Quality Hill Square,148,425 W 9th St,39.10358,-94.588999,4bf58dd8d48988d130941735,Building,Not Rated
53,Broadway Arcade,4b782f5cf964a52098ba2ee3,Cathedral of the Immaculate Conception,152,416 W 12th St,39.100916997659006,-94.58892209628492,4bf58dd8d48988d132941735,Church,Not Rated
54,Broadway Arcade,4b13fd2df964a520529b23e3,Los Corrals,183,408 W 9th St,39.10390521574553,-94.58899457510927,4bf58dd8d48988d1c1941735,Mexican Restaurant,6.9
55,Broadway Arcade,4b155444f964a52000ab23e3,The Peanut,186,418 W 9th St,39.10387235099033,-94.58929748711635,4bf58dd8d48988d118941735,Dive Bar,7.7
56,Broadway Arcade,4b1d7717f964a520e51024e3,DST Systems - Centennial Building,240,210 W 10th St,39.1028454345251,-94.58598824283408,4bf58dd8d48988d124941735,Office,Not Rated
57,Commerce Arcade,4df8bc09a809df9984ea7cde,Harmony,16,911 Main St,39.10151,-94.58226,4bf58dd8d48988d127941735,Conference Room,Not Rated
58,Commerce Arcade,4fd8e282e4b0de27c90b4166,Charisse,24,1006 Walnut St,39.101624763939,-94.58221077919006,4bf58dd8d48988d10c941735,French Restaurant,7.6
59,Commerce Arcade,50d0acf0e4b0834918f02283,DFC Small IT Conference Room,24,No Address,39.10128699370347,-94.58244651063367,4bf58dd8d48988d127941735,Conference Room,Not Rated
60,Commerce Arcade,4d795d63542ab1f7c80e7c41,RideKC - Petticoat & Main,43,No Address,39.101206,-94.582764,52f2ab2ebcbc57f1066b8b4f,Bus Stop,Not Rated
61,Commerce Arcade,50be48bbe4b0532c3b0eef4d,One Petticoat Lane,47,No Address,39.10109600000001,-94.582623,4bf58dd8d48988d130941735,Building,Not Rated
62,Commerce Arcade,4e7b9edeb0fbd66c1244ef59,The Box Gallery,52,1000 Walnut St,39.101972,-94.582493,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
63,Commerce Arcade,4be2cf6e1dd22d7ff2d994bd,Espresso Ah La Cart,55,1000 Walnut St,39.102001745748545,-94.58250053418577,4bf58dd8d48988d1e0931735,Coffee Shop,Not Rated
64,Commerce Arcade,4c72c5787121a1cd046a63d1,FedEx Office Print & Ship Center,59,"1111 Main St, Suite 111",39.1009969,-94.5822173,52f2ab2ebcbc57f1066b8b1f,Shipping Store,6.0
65,Commerce Arcade,4c9a3371eaa5a1435630cae4,Bruso Dentistry,64,No Address,39.10128495171981,-94.58313686698892,4bf58dd8d48988d178941735,Dentist's Office,Not Rated
66,Commerce Arcade,4fd279d3e4b0d1423fa43d0a,Main Street Parking Garage,82,No Address,39.10217233066135,-94.58284764525592,4c38df4de52ce0d596b336e1,Parking,Not Rated
67,Commerce Arcade,4e416a2162e17b948c2762dc,Kemper Fountain,101,Main St,39.102173867903204,-94.58324628542688,56aa371be4b08b9a8d573547,Fountain,Not Rated
68,Commerce Arcade,4ddc277e1838306b8200077c,Ardmore Finance,104,107 E 10th St,39.1021706,-94.5815874,503287a291d4c4b30a586d65,Financial or Legal Service,Not Rated
