,Arcade,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name,Venue_Rating
31,Atlanta Arcade & Gaming Rentals,51fafe0d498edda1d4a48da7,12th Street Entrance,127,No Address,33.784210896879,-84.37827266665995,4bf58dd8d48988d163941735,Park,Not Rated
32,Atlanta Arcade & Gaming Rentals,5727ed7d498ef4035f29d8a4,14th Street Gate Entrance,137,No Address,33.786488,-84.378114,4bf58dd8d48988d163941735,Park,Not Rated
33,Atlanta Arcade & Gaming Rentals,5d55c42d4a16c2000832cce9,Yoo On The Park Gym,138,No Address,33.785244,-84.380103,4bf58dd8d48988d175941735,Gym / Fitness Center,Not Rated
34,Atlanta Arcade & Gaming Rentals,5be8ba243183940025f9b7fc,Original Eclectic Barbers,167,244 14th St NE,33.78676268095969,-84.37911987304688,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
35,Atlanta Arcade & Gaming Rentals,4daa1bb88154abafc2a5b367,Piedmont Park Visitor Center,171,298 12th St NE,33.78407002287259,-84.37751450054691,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
36,Atlanta Arcade & Gaming Rentals,4bca2d353740b71336406065,Shake at the Lake,204,Piedmont Park,33.78394800517434,-84.37712954780709,4bf58dd8d48988d1f2931735,Performing Arts Venue,Not Rated
37,Atlanta Arcade & Gaming Rentals,415b4c80f964a520441d1fe3,Piedmont Park,454,400 Park Dr NE,33.78418803916907,-84.37388044650842,4bf58dd8d48988d163941735,Park,9.5
38,Atlanta Arcade Rentals,49f39a6ef964a520be6a1fe3,Richards Variety Store,16,931 Monroe Dr NE,33.77982720234306,-84.3681082650119,4bf58dd8d48988d128951735,Gift Shop,7.4
39,Atlanta Arcade Rentals,53e3d214498eab537ce955d9,Ah-Ma's Taiwanese Kitchen,19,931 Monroe Dr NE Ste A108,33.780103118473704,-84.36816504006043,52af3b813cf9994f4e043c04,Taiwanese Restaurant,7.7
40,Atlanta Arcade Rentals,5995e88828374e303ba429d5,PokeCity Midtown,20,931 Monroe Dr NE Ste A101,33.780029,-84.36842,5bae9231bedf3950379f89d4,Poke Place,Not Rated
41,Atlanta Arcade Rentals,5131599de4b008f25f1901ae,Gatsby's,24,931 Monroe Dr NE Ste B111,33.780112706120036,-84.36806948915564,4bf58dd8d48988d121941735,Lounge,7.1
42,Atlanta Arcade Rentals,49ef56a2f964a520a2681fe3,MetroFresh,35,931 Monroe Dr NE Ste A106,33.78017317885029,-84.36848613848207,4bf58dd8d48988d1dd931735,Soup Place,8.3
43,Atlanta Arcade Rentals,4a8f6104f964a5201a1520e3,Midtown Promenade,40,931 Monroe Dr NE,33.779700224901624,-84.36856269836427,4bf58dd8d48988d1fd941735,Shopping Mall,7.6
44,Atlanta Arcade Rentals,49e45600f964a520fd621fe3,Trader Joe's,41,931 Monroe Dr,33.77962484449945,-84.36798914378377,4bf58dd8d48988d118951735,Grocery Store,9.1
45,Atlanta Arcade Rentals,5ce3251e054e29002c49138a,Bruster's Real Ice Cream,41,931 Monroe Dr,33.779756,-84.367846,4bf58dd8d48988d1c9941735,Ice Cream Shop,Not Rated
46,Atlanta Arcade Rentals,4a04c705f964a5202d721fe3,Mellow Mushroom,48,931 Monroe Dr NE,33.780343502759045,-84.36844137307264,4bf58dd8d48988d1ca941735,Pizza Place,8.6
47,Atlanta Arcade Rentals,552ae23a498e5f398a39a283,Bruster's/Nathan's,57,931 Monroe Dr NE,33.779432729935905,-84.368141454723,4bf58dd8d48988d16f941735,Hot Dog Joint,Not Rated
48,Atlanta Arcade Rentals,4f563d63e4b02285fe2586d8,Monroe shopping center,60,No Address,33.78013566874421,-84.36884475556266,4bf58dd8d48988d1f9941735,Food & Drink Shop,Not Rated
49,Atlanta Arcade Rentals,5995c7b9fc9e94040a60c4ed,Poké City,67,No Address,33.78026630989695,-84.36884908632676,5bae9231bedf3950379f89d4,Poke Place,7.1
50,Atlanta Arcade Rentals,49f36e35f964a5209a6a1fe3,Starbucks,73,931 Monroe Dr,33.78032743,-84.36887027,4bf58dd8d48988d1e0931735,Coffee Shop,7.5
51,Atlanta Arcade Rentals,5bc26c08a35dce002c4eb9fd,Virginia Hill Condominiums,77,587 Virginia Ave NE,33.780633,-84.3683,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
