,Venue_Distance,Category_ID,Category_Name,Venue_Rating
96,20,4bf58dd8d48988d1e5941735,Dog Run,Not Rated
97,26,4bf58dd8d48988d11a941735,Other Nightlife,Not Rated
98,30,4bf58dd8d48988d15e941735,Pool,Not Rated
99,32,4bf58dd8d48988d159941735,Trail,Not Rated
100,257,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
101,398,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
102,504,4bf58dd8d48988d15e941735,Pool,Not Rated
103,632,4bf58dd8d48988d161941735,Lake,Not Rated
104,639,52f2ab2ebcbc57f1066b8b55,Trailer Park,Not Rated
105,704,4bf58dd8d48988d113951735,Gas Station,Not Rated
106,792,4bf58dd8d48988d161941735,Lake,Not Rated
107,914,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Not Rated
108,973,4cce455aebf7b749d5e191f5,Soccer Field,Not Rated
109,980,4cce455aebf7b749d5e191f5,Soccer Field,Not Rated
110,995,4bf58dd8d48988d171941735,Event Space,Not Rated
111,1185,4bf58dd8d48988d1f4931735,Racetrack,Not Rated
112,1424,4bf58dd8d48988d11f941735,Nightclub,Not Rated
113,1438,4bf58dd8d48988d174941735,Coworking Space,Not Rated
114,1619,4edd64a0c7ddd24ca188df1a,Fish & Chips Shop,Not Rated
115,3,4bf58dd8d48988d1d0941735,Dessert Shop,Not Rated
116,3,4bf58dd8d48988d1f6931735,General Travel,Not Rated
117,3,4bf58dd8d48988d1f6931735,General Travel,Not Rated
118,17,4bf58dd8d48988d128951735,Gift Shop,Not Rated
119,17,4bf58dd8d48988d103951735,Clothing Store,Not Rated
120,20,4bf58dd8d48988d1d0941735,Dessert Shop,Not Rated
121,27,4bf58dd8d48988d102951735,Accessories Store,Not Rated
122,35,4bf58dd8d48988d110951735,Salon / Barbershop,Not Rated
123,36,4bf58dd8d48988d11f941735,Nightclub,Not Rated
124,37,4bf58dd8d48988d1f6931735,General Travel,Not Rated
125,45,4bf58dd8d48988d1fd941735,Shopping Mall,Not Rated
126,45,4bf58dd8d48988d174941735,Coworking Space,Not Rated
127,65,4bf58dd8d48988d1e2931735,Art Gallery,Not Rated
128,90,4bf58dd8d48988d130941735,Building,Not Rated
129,90,4bf58dd8d48988d107951735,Shoe Store,Not Rated
130,91,4bf58dd8d48988d171941735,Event Space,Not Rated
131,107,4bf58dd8d48988d1f2941735,Sporting Goods Shop,Not Rated
132,208,4bf58dd8d48988d1fd931735,Metro Station,Not Rated
133,501,50328a8e91d4c4b30a586d6c,Non-Profit,Not Rated
