Category_ID,Category_Count
4bf58dd8d48988d101941735,3
4bf58dd8d48988d101951735,2
4bf58dd8d48988d102941735,5
4bf58dd8d48988d102951735,1
4bf58dd8d48988d103951735,9
4bf58dd8d48988d104941735,4
4bf58dd8d48988d104951735,8
4bf58dd8d48988d105941735,1
4bf58dd8d48988d105951735,1
4bf58dd8d48988d106951735,3
4bf58dd8d48988d107951735,3
4bf58dd8d48988d108951735,2
4bf58dd8d48988d109941735,1
4bf58dd8d48988d109951735,2
4bf58dd8d48988d10a951735,6
4bf58dd8d48988d10b941735,4
4bf58dd8d48988d10b951735,1
4bf58dd8d48988d10c951735,7
4bf58dd8d48988d10d941735,1
4bf58dd8d48988d10d951735,2
4bf58dd8d48988d10e941735,2
4bf58dd8d48988d10f941735,2
4bf58dd8d48988d10f951735,6
4bf58dd8d48988d110941735,1
4bf58dd8d48988d110951735,29
4bf58dd8d48988d111941735,1
4bf58dd8d48988d111951735,1
4bf58dd8d48988d112941735,7
4bf58dd8d48988d112951735,7
4bf58dd8d48988d113941735,4
4bf58dd8d48988d113951735,12
4bf58dd8d48988d114951735,7
4bf58dd8d48988d115951735,2
4bf58dd8d48988d116941735,17
4bf58dd8d48988d116951735,3
4bf58dd8d48988d117941735,1
4bf58dd8d48988d117951735,3
4bf58dd8d48988d118941735,3
4bf58dd8d48988d118951735,8
4bf58dd8d48988d119951735,1
4bf58dd8d48988d11a941735,1
4bf58dd8d48988d11a951735,1
4bf58dd8d48988d11b941735,1
4bf58dd8d48988d11b951735,2
4bf58dd8d48988d11d941735,3
4bf58dd8d48988d11d951735,1
4bf58dd8d48988d11e941735,6
4bf58dd8d48988d11f941735,4
4bf58dd8d48988d120951735,2
4bf58dd8d48988d121941735,6
4bf58dd8d48988d121951735,2
4bf58dd8d48988d122951735,5
4bf58dd8d48988d123941735,3
4bf58dd8d48988d123951735,2
4bf58dd8d48988d124941735,72
4bf58dd8d48988d124951735,2
4bf58dd8d48988d125941735,18
4bf58dd8d48988d126941735,3
4bf58dd8d48988d126951735,3
4bf58dd8d48988d127941735,4
4bf58dd8d48988d127951735,3
4bf58dd8d48988d128951735,11
4bf58dd8d48988d129951735,4
4bf58dd8d48988d12b941735,2
4bf58dd8d48988d12b951735,10
4bf58dd8d48988d12c941735,3
4bf58dd8d48988d12d941735,3
4bf58dd8d48988d12d951735,1
4bf58dd8d48988d12f941735,2
4bf58dd8d48988d12f951735,1
4bf58dd8d48988d130941735,32
4bf58dd8d48988d131941735,2
4bf58dd8d48988d132941735,13
4bf58dd8d48988d137941735,2
4bf58dd8d48988d13b941735,2
4bf58dd8d48988d13d941735,5
4bf58dd8d48988d141941735,1
4bf58dd8d48988d143941735,2
4bf58dd8d48988d144941735,6
4bf58dd8d48988d145941735,17
4bf58dd8d48988d146941735,13
4bf58dd8d48988d148941735,9
4bf58dd8d48988d149941735,1
4bf58dd8d48988d14a941735,5
4bf58dd8d48988d14c941735,3
4bf58dd8d48988d14e941735,11
4bf58dd8d48988d14f941735,2
4bf58dd8d48988d151941735,5
4bf58dd8d48988d152941735,1
4bf58dd8d48988d155941735,2
4bf58dd8d48988d156941735,2
4bf58dd8d48988d157941735,1
4bf58dd8d48988d159941735,7
4bf58dd8d48988d15a941735,5
4bf58dd8d48988d15b941735,2
4bf58dd8d48988d15c941735,1
4bf58dd8d48988d15e941735,3
4bf58dd8d48988d15f941735,2
4bf58dd8d48988d161941735,4
4bf58dd8d48988d162941735,14
4bf58dd8d48988d163941735,25
4bf58dd8d48988d164941735,7
4bf58dd8d48988d165941735,7
4bf58dd8d48988d166941735,2
4bf58dd8d48988d167941735,1
4bf58dd8d48988d16a941735,10
4bf58dd8d48988d16c941735,2
4bf58dd8d48988d16d941735,4
4bf58dd8d48988d16e941735,5
4bf58dd8d48988d16f941735,6
4bf58dd8d48988d171941735,18
4bf58dd8d48988d172941735,4
4bf58dd8d48988d174941735,14
4bf58dd8d48988d175941735,7
4bf58dd8d48988d176941735,9
4bf58dd8d48988d177941735,10
4bf58dd8d48988d178941735,3
4bf58dd8d48988d179941735,3
4bf58dd8d48988d17c941735,1
4bf58dd8d48988d180941735,1
4bf58dd8d48988d181941735,4
4bf58dd8d48988d182941735,22
4bf58dd8d48988d186941735,10
4bf58dd8d48988d18b941735,1
4bf58dd8d48988d18f941735,2
4bf58dd8d48988d190941735,1
4bf58dd8d48988d196941735,1
4bf58dd8d48988d197941735,2
4bf58dd8d48988d198941735,1
4bf58dd8d48988d1a5941735,1
4bf58dd8d48988d1a7941735,1
4bf58dd8d48988d1a8941735,5
4bf58dd8d48988d1ab941735,1
4bf58dd8d48988d1ad941735,2
4bf58dd8d48988d1bb941735,1
4bf58dd8d48988d1bd941735,2
4bf58dd8d48988d1be941735,1
4bf58dd8d48988d1c0941735,1
4bf58dd8d48988d1c1941735,10
4bf58dd8d48988d1c3941735,2
4bf58dd8d48988d1c4941735,4
4bf58dd8d48988d1c5941735,6
4bf58dd8d48988d1c6941735,1
4bf58dd8d48988d1c7941735,5
4bf58dd8d48988d1c9941735,9
4bf58dd8d48988d1ca941735,25
4bf58dd8d48988d1cb941735,7
4bf58dd8d48988d1cc941735,3
4bf58dd8d48988d1ce941735,9
4bf58dd8d48988d1d0941735,9
4bf58dd8d48988d1d1941735,1
4bf58dd8d48988d1d3941735,3
4bf58dd8d48988d1d4941735,1
4bf58dd8d48988d1d5941735,1
