,Venue_Distance,Category_ID,Category_Name,Venue_Rating
95,2349,52f2ab2ebcbc57f1066b8b36,IT Services,Not Rated
96,247,4bf58dd8d48988d14e941735,American Restaurant,Not Rated
97,453,4f2a23984b9023bd5841ed2c,Moving Target,Not Rated
98,470,54541b70498ea6ccd0204bff,Transportation Service,Not Rated
99,659,56aa371be4b08b9a8d57352f,Airport Service,Not Rated
100,704,4bf58dd8d48988d162941735,Other Great Outdoors,Not Rated
101,814,4bf58dd8d48988d124941735,Office,Not Rated
102,914,4c38df4de52ce0d596b336e1,Parking,Not Rated
103,968,52e81612bcbc57f1066b7a11,Gun Range,Not Rated
104,1018,52e81612bcbc57f1066b7a36,Warehouse,Not Rated
105,1068,4bf58dd8d48988d1f1931735,General Entertainment,Not Rated
106,1076,52f2ab2ebcbc57f1066b8b4e,Toll Plaza,Not Rated
107,1195,4bf58dd8d48988d1f0931735,Airport Gate,Not Rated
108,1231,52e81612bcbc57f1066b7a36,Warehouse,Not Rated
109,1244,4bf58dd8d48988d130941735,Building,Not Rated
110,1413,4bf58dd8d48988d130941735,Building,Not Rated
111,1477,4bf58dd8d48988d11d941735,Sports Bar,Not Rated
112,1508,5454144b498ec1f095bff2f2,Construction & Landscaping,Not Rated
113,3141,56aa371be4b08b9a8d57352f,Airport Service,Not Rated
114,13358,4eb1bea83b7b6f98df247e06,Factory,Not Rated
115,140,50327c8591d4c4b30a586d5d,Brewery,8.6
116,181,4bf58dd8d48988d172941735,Post Office,6.6
117,214,4bf58dd8d48988d116951735,Antique Shop,Not Rated
118,274,4bf58dd8d48988d1cb941735,Food Truck,Not Rated
119,286,4eb1c1623b7b52c0e1adc2ec,Auto Dealership,Not Rated
120,309,4bf58dd8d48988d1a8941735,General College & University,Not Rated
121,378,4bf58dd8d48988d1ff941735,Miscellaneous Shop,Not Rated
122,424,4bf58dd8d48988d124941735,Office,Not Rated
123,453,4bf58dd8d48988d1c1941735,Mexican Restaurant,Not Rated
124,482,4bf58dd8d48988d1d6941735,Strip Club,Not Rated
125,531,56aa371be4b08b9a8d57355e,Bike Trail,Not Rated
126,535,4bf58dd8d48988d124941735,Office,Not Rated
127,535,4d954b0ea243a5684a65b473,Convenience Store,Not Rated
